default	NC	b	hm	d	hn	g	hx	z	s	rr	j	ny
	NM	p	m	t	n	k	ng	c	ss	nr	q	x
	NL	bb	f	dd	hl	gg	h	zz	zh	sh	jj	y
	GL	nb	v	nd	l	mg	w	nz	ch	r	nj	BK
												
NC		it	iet	at		ot						
	NM	ix	iex	ax	uox	ox	ex					
	NL	i	ie	a	uo	o	e					
	GL	ip	iep	ap	uop	op						BS
												
b		bit	biet	bat		bot		but		byt		
	NM	bix	biex	bax	buox	box	bex	bux	burx	byx	byrx	
	NL	bi	bie	ba	buo	bo	be	bu	bur	by	byr	
	GL	bip	biep	bap	buop	bop	bep	bup		byp		BS
												
p		pit		pat		pot		put		pyt		
	NM	pix	piex	pax	puox	pox		pux	purx	pyx	pyrx	
	NL	pi	pie	pa	puo	po		pu	pur	py	pyr	
	GL	pip	piep	pap	puop	pop		pup		pyp		BS
												
bb		bbit	bbiet	bbat		bbot		bbut		bbyt		
	NM	bbix	bbiex	bbax	bbuox	bbox	bbex	bbux	bburx	bbyx		
	NL	bbi	bbie	bba	bbuo	bbo	bbe	bbu	bbur	bby		
	GL	bbip	bbiep	bbap	bbuop	bbop	bbep	bbup		bbyp		BS
												
nb		nbit		nbat		nbot		nbut		nbyt		
	NM	nbix	nbiex	nbax		nbox		nbux	nburx	nbyx	nbyrx	
	NL	nbi	nbie	nba		nbo		nbu	nbur	nby	nbyr	
	GL	nbip	nbiep	nbap		nbop		nbup		nbyp		BS
												
hm		hmit		hmat		hmot		hmut				
hm	NM	hmix	hmiex	hmax	hmuox	hmox		hmux	hmurx	hmyx	hmyrx	
hm	NL	hmi	hmie	hma	hmuo	hmo		hmu	hmur	hmy	hmyr	
hm	GL	hmip	hmiep	hmap	hmuop	hmop		hmup		hmyp		BS
												
m		mit		mat	muot	mot		mut		myt		
m	NM	mix	miex	max	muox	mox	mex	mux	murx	myx		
m	NL	mi	mie	ma	muo	mo	me	mu	mur	my		
m	GL	mip	miep	map	muop	mop		mup		myp		BS
												
f		fit		fat				fut		fyt		
f	NM	fix		fax		fox		fux	furx	fyx		
f	NL	fi		fa		fo		fu	fur	fy		
f	GL	fip		fap		fop		fup		fyp		BS
												
v		vit	viet	vat		vot		vut		vyt		
v	NM	vix	viex	vax		vox	vex	vux	vurx	vyx	vyrx	
v	NL	vi	vie	va		vo		vu	vur	vy	vyr	
v	GL	vip	viep	vap		vop	vep	vup		vyp		BS
												
d		dit		dat		dot		dut				
d	NM	dix	diex	dax	duox	dox	dex	dux	durx			
d	NL	di	die	da	duo	do	de	du	dur			
d	GL	dip	diep	dap		dop	dep	dup				BS
												
t		tit		tat	tuot	tot		tut				
t	NM	tix	tiex	tax	tuox	tox	tex	tux	turx			
t	NL	ti	tie	ta	tuo	to	te	tu	tur			
t	GL	tip	tiep	tap	tuop	top	tep	tup				BS
												
dd		ddit		ddat		ddot		ddut				
dd	NM	ddix	ddiex	ddax	dduox	ddox	ddex	ddux	ddurx			
dd	NL	ddi	ddie	dda	dduo	ddo	dde	ddu	ddur			
dd	GL	ddip	ddiep	ddap	dduop	ddop	ddep	ddup				BS
												
nd		ndit		ndat		ndot		ndut				
nd	NM	ndix	ndiex	ndax		ndox	ndex	ndux	ndurx			
nd	NL	ndi	ndie	nda		ndo	nde	ndu	ndur			
nd	GL	ndip		ndap		ndop	ndep	ndup				BS
												
hn		hnit	hniet	hnat		hnot		hnut				
hn	NM	hnix	hniex	hnax	hnuox	hnox	hnex					
hn	NL	hni	hnie	hna	hnuo		hne					
hn	GL	hnip	hniep	hnap		hnop	hnep					BS
												
n		nit				not		nut				
n	NM	nix	niex	nax	nuox	nox	nex	nux	nurx			
n	NL	ni	nie	na	nuo	no	ne	nu	nur			
n	GL	nip	niep	nap	nuop	nop	nep	nup				BS
												
hl		hlit		hlat				hlut		hlyt		
hl	NM	hlix	hliex	hlax	hluox	hlox	hlex	hlux	hlurx	hlyx	hlyrx	
hl	NL	hli	hlie	hla	hluo	hlo	hle	hlu	hlur	hly	hlyr	
hl	GL	hlip	hliep	hlap	hluop	hlop	hlep	hlup		hlyp		BS
												
l		lit	liet	lat	luot	lot		lut		lyt		
l	NM	lix	liex	lax	luox	lox	lex	lux	lurx	lyx	lyrx	
l	NL	li	lie	la	luo	lo	le	lu	lur	ly	lyr	
l	GL	lip	liep	lap	luop	lop	lep	lup		lyp		BS
												
g		git	giet	gat	guot	got	get	gut				
g	NM	gix	giex	gax	guox	gox	gex	gux	gurx			
g	NL	gi	gie	ga	guo	go	ge	gu	gur			
g	GL	gip	giep	gap	guop	gop	gep	gup				BS
												
k		kit		kat		kot	ket	kut				
k	NM	kix	kiex	kax	kuox	kox	kex	kux	kurx			
k	NL	ki	kie	ka	kuo	ko	ke	ku	kur			
k	GL	kip	kiep	kap	kuop	kop	kep	kup				BS
												
gg		ggit		ggat	gguot	ggot	gget	ggut				
gg	NM	ggix	ggiex	ggax	gguox	ggox	ggex	ggux	ggurx			
gg	NL	ggi	ggie	gga	gguo	ggo	gge	ggu	ggur			
gg	GL		ggiep	ggap	gguop	ggop	ggep	ggup				BS
												
mg				mgat		mgot		mgut				
mg	NM		mgiex	mgax	mguox	mgox	mgex	mgux	mgurx			
mg	NL		mgie	mga	mguo	mgo	mge	mgu	mgur			
mg	GL			mgap	mguop	mgop	mgep	mgup				BS
												
hx		hxit	hxiet	hxat	hxuot	hxot						
hx	NM	hxix	hxiex	hxax	hxuox	hxox	hxex					
hx	NL	hxi	hxie	hxa	hxuo	hxo	hxe					
hx	GL	hxip	hxiep	hxap	hxuop	hxop	hxep					BS
												
ng				ngat	nguot	ngot						
ng	NM		ngiex	ngax	nguox	ngox	ngex					
ng	NL		ngie	nga	nguo	ngo	nge					
ng	GL		ngiep	ngap		ngop	ngep					BS
												
h		hit		hat	huot	hot						
h	NM		hiex	hax	huox	hox	hex					
h	NL		hie	ha	huo	ho	he					
h	GL			hap	huop	hop	hep					BS
												
w				wat								w
w	NM			wax	wuox	wox	wex					
w	NL			wa	wuo	wo	we					
w	GL			wap	wuop	wop	wep					BS
												
z		zit		zat		zot		zut		zyt		
z	NM	zix	ziex	zax	zuox	zox	zex	zux	zurx	zyx	zyrx	
z	NL	zi	zie	za	zuo	zo	ze	zu	zur	zy	zyr	
z	GL	zip	ziep	zap	zuop	zop	zep	zup		zyp		BS
												
c		cit	ciet	cat		cot		cut		cyt		
c	NM	cix	ciex	cax	cuox	cox	cex	cux	curx	cyx	cyrx	
c	NL	ci	cie	ca	cuo	co	ce	cu	cur	cy	cyr	
c	GL	cip	ciep	cap	cuop	cop	cep	cup		cyp		BS
												
zz		zzit	zziet	zzat						zzyt		
zz	NM	zzix	zziex	zzax		zzox	zzex	zzux	zzurx	zzyx	zzyrx	
zz	NL	zzi	zzie	zza		zzo	zze	zzu	zzur	zzy	zzyr	
zz	GL	zzip	zziep	zzap		zzop	zzep	zzup		zzyp		BS
												
nz		nzit		nzat						nzyt		
nz	NM	nzix	nziex	nzax	nzuox	nzox	nzex	nzux	nzurx	nzyx	nzyrx	
nz	NL	nzi	nzie	nza	nzuo		nze	nzu	nzur	nzy	nzyr	
nz	GL	nzip	nziep	nzap		nzop		nzup		nzyp		BS
												
s		sit		sat		sot		sut		syt		
s	NM	six	siex	sax	suox	sox	sex	sux	surx	syx	syrx	
s	NL	si	sie	sa	suo	so	se	su	sur	sy	syr	
s	GL	sip	siep	sap	suop	sop	sep	sup		syp		BS
												
ss		ssit		ssat		ssot		ssut		ssyt		
ss	NM	ssix	ssiex	ssax		ssox	ssex	ssux		ssyx	ssyrx	
ss	NL	ssi	ssie	ssa		sso	sse	ssu		ssy	ssyr	
ss	GL	ssip	ssiep	ssap		ssop	ssep	ssup		ssyp		BS
												
zh				zhat		zhot	zhet	zhut		zhyt		
zh	NM			zhax	zhuox	zhox	zhex	zhux	zhurx	zhyx	zhyrx	
zh	NL			zha	zhuo	zho	zhe	zhu	zhur	zhy	zhyr	
zh	GL			zhap	zhuop	zhop	zhep	zhup		zhyp		BS
												
ch				chat	chuot	chot	chet			chyt		
ch	NM			chax	chuox	chox	chex	chux	churx	chyx	chyrx	
ch	NL			cha	chuo	cho	che	chu	chur	chy	chyr	
ch	GL			chap	chuop	chop	chep	chup		chyp		BS
												
rr						rrot	rret	rrut		rryt		
rr	NM			rrax	rruox	rrox	rrex	rrux	rrurx	rryx	rryrx	
rr	NL			rra	rruo	rro	rre	rru	rrur	rry	rryr	
rr	GL					rrop	rrep	rrup		rryp		BS
												
nr				nrat			nret	nrut		nryt		
nr	NM			nrax		nrox	nrex	nrux	nrurx	nryx	nryrx	
nr	NL			nra		nro	nre	nru	nrur	nry	nryr	
nr	GL			nrap		nrop	nrep	nrup		nryp		BS
												
sh				shat		shot	shet	shut		shyt		
sh	NM			shax	shuox	shox	shex	shux	shurx	shyx	shyrx	
sh	NL			sha	shuo	sho	she	shu	shur	shy	shyr	
sh	GL			shap	shuop	shop	shep	shup		shyp		BS
												
r				rat		rot		rut		ryt		
r	NM			rax	ruox	rox	rex	rux	rurx	ryx	ryrx	
r	NL			ra	ruo	ro	re	ru	rur	ry	ryr	
r	GL			rap	ruop	rop	rep	rup		ryp		BS
												
j		jit	jiet		juot	jot		jut		jyt		
j	NM	jix	jiex		juox	jox		jux	jurx	jyx	jyrx	
j	NL	ji	jie		juo	jo		ju	jur	jy	jyr	
j	GL	jip	jiep		juop	jop		jup		jyp		BS
												
q		qit	qiet		quot	qot		qut		qyt		
q	NM	qix	qiex		quox	qox		qux	qurx	qyx	qyrx	
q	NL	qi	qie		quo	qo		qu	qur	qy	qyr	
q	GL	qip	qiep		quop	qop		qup		qyp		BS
												
jj		jjit	jjiet			jjot		jjut		jjyt		
jj	NM	jjix	jjiex		jjuox	jjox		jjux	jjurx	jjyx		
jj	NL	jji	jjie		jjuo	jjo		jju	jjur	jjy		
jj	GL	jjip	jjiep		jjuop	jjop		jjup		jjyp		BS
												
nj		njit	njiet			njot				njyt		
nj	NM	njix	njiex		njuox	njox		njux	njurx	njyx	njyrx	
nj	NL	nji	njie		njuo	njo		nju	njur	njy	njyr	
nj	GL	njip	njiep			njop		njup		njyp		BS
												
ny		nyit	nyiet			nyot		nyut				
ny	NM	nyix	nyiex		nyuox	nyox		nyux				
ny	NL	nyi	nyie		nyuo	nyo		nyu				
ny	GL	nyip	nyiep		nyuop	nyop		nyup				BS
												
x		xit	xiet			xot				xyt		
x	NM	xix	xiex		xuox	xox				xyx	xyrx	
x	NL	xi	xie		xuo	xo				xy	xyr	
x	GL	xip	xiep			xop				xyp		BS
												
y		yit	yiet		yuot	yot		yut		yyt		
y	NM	yix	yiex		yuox	yox		yux	yurx	yyx	yyrx	
y	NL	yi	yie		yuo	yo		yu	yur	yy	yyr	
y	GL	yip	yiep		yuop	yop		yup		yyp		BS
												
numeric	SP	1	2	3	4	5	6	7	8	9	0	w
	NX	〈	〉	《	》	（	）	“	”	｛	｜	｝
	NL	#	%	+	-	*	=	‘	’	［	／	］
	GL	~	_	…	、	，	。	；	：	？	！	BK
